nama;klub;nationality;age;pos;app;min;g;a;ball_rec;block;crosses_blocked;clearance;CC;take_on_s;foul;offside;fouled;cs;g_conceded;tackle;header;intercept;OG;crs;att_pass;pass_suc;g_penalty;saves;son;soff;shots;yc;rc
julian schwarzer;arema;phi;23;gk;6;540;0;0;;;;;;;1;;;1;10;1;;;;;132;97;;23;;0;;1;
adixi lenvizio;arema;idn;31;gk;1;90;0;;;;;;;;;;;;;;;;;;21;15;;2;;0;;;
diki agung s;arema;idn;25;gk;0;0;0;;;;;;;;;;;;;;;;;;;;;;;0;;;
teguh amirudin;arema;idn;30;gk;3;270;0;;;;;;;;;;;0;7;;;;;;48;37;;10;;0;;;
m rendra teddy wijanarko;arema;idn;27;mf;0;0;0;;;;;;;;;;;;;;;;;;;;;;;0;;;
flabiola solares;arema;idn;24;fw;3;96;0;;;;;;;;5;;;;;3;;1;;;26;24;;;2;1;3;;
samuel gideon balinsa;arema;idn;24;mf;1;26;0;0;;;;0;;;1;;;;;1;;3;;;16;14;;;;0;;;
rifad marasabessy;arema;idn;24;df;3;186;0;0;;;;1;;;1;0;;;;5;;5;;;87;75;;;;0;;;
bagas adi nugroho;arema;idn;26;df;7;595;0;0;;6;;15;;;4;;6;;;11;1;24;;1;261;225;;;;1;1;1;
asyraq gufron;arema;idn;27;df;3;182;0;0;;4;;8;;;;;;;;3;;9;;;50;41;;;;0;;;
syaeful anwar;arema;idn;29;df;5;269;0;0;;3;;15;;;5;;;;;2;3;12;;;95;80;;;;0;;1;
ichaka diara;arema;mal;28;df;7;531;0;0;;3;;30;;;8;;;;;6;4;38;;;235;181;;;4;3;7;2;
evan dimas d;arema;idn;28;mf;5;199;0;0;;;;0;;;2;;;;;5;;5;;;106;98;;;1;0;1;;
charles lokolingoy;arema;aus;26;mf;4;198;0;0;;;;1;;;2;2;9;;;0;;0;;1;43;31;;;3;2;5;;
pablo angel ariel lucero;arema;arg;24;mf;10;769;0;1;10;1;;1;16;5;8;2;21;;;15;;27;;2;449;328;;;10;8;18;;
muhammad rafli;arema;idn;25;mf;7;310;0;1;5;;;2;4;1;6;1;;;;1;;11;;3;133;106;;;1;1;2;2;
jayus hariono;arema;idn;26;mf;7;557;0;1;6;1;;3;2;1;12;0;;;;25;;18;;;233;205;;;;0;;4;
greg nwokolo;arema;idn;37;fw;5;48;0;1;;;;;;;3;;;;;;;2;;;15;13;;;;0;;;
seiya da costa lay;arema;idn;22;mf;0;0;0;;;;;;;;;;;;;;;;;;;;;;;0;;;
charles raphael;arema;bra;28;mf;10;783;0;0;7;4;;42;;1;19;1;7;;;12;4;32;;;418;350;;;7;7;14;2;
hamdi sula;arema;idn;25;df;7;462;0;0;2;;;10;3;1;10;3;;;;11;;15;;3;216;164;;;;2;2;1;
gufroni al maruf;arema;idn;26;mf;0;0;0;;;;;;;;;;;;;;;;;;;;;;;0;;;
mikael alfredo tata;arema;idn;19;df;8;574;0;0;3;;;7;2;2;11;;7;;;28;3;22;;1;220;167;;;1;3;4;3;
arkhan fikri;arema;idn;18;mf;7;313;0;0;6;;;;5;;2;;14;;;7;;4;;;148;122;;;;1;1;;
dendy santoso;arema;idn;33;mf;10;701;0;0;5;;;4;4;2;1;2;8;;;9;;17;;;276;221;;;;0;;;
achmad maulana syarif;arema;idn;20;mf;6;324;0;0;4;;;4;;;7;;8;;;12;1;10;;;153;129;;;;1;1;1;
gustavo almeida;arema;bra;27;fw;8;719;9;0;2;1;;8;5;4;16;8;19;;;2;1;6;;;142;101;3;;12;4;16;3;
ginanjar wahyu;arema;idn;19;fw;2;64;0;0;;;;;;1;;;;;;;1;3;;;24;16;;;;0;;;
dedik setiawan;arema;idn;29;fw;9;524;1;0;;;;;5;1;11;3;13;;;6;;3;;3;118;91;;;3;7;10;;
ahmad figo r;arema;idn;22;df;2;56;0;;;;;2;;;;;;;;2;;7;;1;33;22;;;;0;;;
johan alfarizi;arema;idn;33;df;1;90;0;;;;;1;;;;1;;;;1;;3;;;39;32;;;;0;;;
samsudin;arema;idn;26;fw;5;241;0;;;;;1;;;6;;;;;5;;3;;;65;49;;;1;0;1;;
bayu aji;arema;idn;23;df;4;183;0;0;;;;4;2;;2;;;;;7;2;12;;1;86;69;;;;1;1;;
adilson maringa;bali united;bra;33;gk;10;900;;;;;;2;;;;;;1;14;1;;;;;180;118;;37;;0;;1;
muhammad ridho;bali united;idn;32;gk;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
rakasurya handika;bali united;idn;23;gk;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
i komang aryantara;bali united;idn;18;gk;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
teguh infantrie;bali united;idn;24;mf;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ramdani lestaluhu;bali united;idn;32;mf;5;170;;;;;;1;;;3;2;7;;;2;;3;;;53;40;;;1;2;3;;
komang tri arta wiguna;bali united;idn;22;df;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
i nyoman adi;bali united;idn;20;fw;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
gede agus;bali united;idn;21;df;1;2;;;;;;1;;;1;;;;;;;;;;;;;;;0;;;
made tito;bali united;idn;20;mf;3;62;;;;;;;;;;;;;;;;;;;15;12;;;;1;1;;
rahmat arjuna;bali united;idn;19;fw;2;127;;1;;;;;;1;2;;;;;4;;1;;1;27;18;;;;2;2;;
fadil sausu;bali united;idn;39;mf;3;51;;;;;;;;;2;;;;;;;1;;;42;33;;;;1;1;;
ardi idrus;bali united;idn;30;df;9;462;;2;;;;9;5;1;16;3;;;;17;;13;;9;194;143;;;1;2;3;;
ilja spasojevic;bali united;idn;36;fw;9;384;4;1;;2;;7;3;;8;1;9;;;7;;4;;;65;51;;;7;5;12;2;
privat mbarga;bali united;cmr;31;fw;10;862;2;1;2;;;;11;6;17;5;11;;;9;2;6;;7;228;150;;;3;8;11;2;
i made andhika;bali united;idn;27;df;4;132;;;;1;;1;2;;2;;;;;1;;1;;;67;60;;;;3;3;1;
haudi abdullah;bali united;idn;30;df;3;178;;;;3;;5;;;2;;;;;3;;7;;;52;45;;;;0;;;
yabes roni;bali united;idn;28;fw;1;84;;1;;;;1;;;4;;;;;2;;;;;13;10;;;;1;1;2;1
jefferson mateus;bali united;bra;29;fw;8;573;4;;;1;;6;3;1;13;5;10;;;3;7;5;;2;116;82;2;;11;5;16;1;
elias dolah;bali united;tha;30;df;9;654;1;;3;8;;32;;;21;;;;;15;10;39;;;271;238;;;4;5;9;1;
kadek agung;bali united;idn;25;mf;5;102;1;;2;;;1;;;;;;;;3;;1;;1;39;31;;;1;2;3;;
ricky fajrin;bali united;idn;28;df;10;845;1;1;7;7;;14;12;4;8;;18;;;24;3;56;;6;463;377;;;4;2;6;1;
muhammad rashid;bali united;pls;28;mf;8;564;;;7;4;;5;10;;7;1;7;;;15;5;23;;;286;224;;;5;6;11;1;
mohamad sidik saimima;bali united;idn;26;mf;9;689;;;6;2;;1;;1;12;;12;;;13;;8;;;224;192;;;3;2;5;3;
kadek arel;bali united;idn;18;df;8;642;;;2;2;;15;;2;5;;;;;8;;26;;;316;281;;;;1;1;1;
irfan jaya;bali united;idn;27;fw;2;42;;;2;;;;;;;;;;;1;;;;;8;4;;;3;0;3;;
eber bessa;bali united;bra;31;mf;9;668;1;2;4;;;;6;2;27;2;32;;;14;1;7;;3;277;173;;;4;4;8;3;
jajang mulyana;bali united;idn;35;df;6;218;1;;;1;;9;;;2;;;;;1;1;11;;;61;52;;;1;2;3;1;
rahmat;bali united;idn;35;fw;9;470;1;1;;2;;;6;3;3;4;7;;;5;;3;;8;183;131;;;3;5;8;1;
ryuji utomo;bali united;idn;28;df;3;181;;;;;;12;;;1;;;;;1;1;9;;;47;40;;;;0;;;
novri setiawan;bali united;idn;30;df;10;728;;;;;;14;9;1;14;;15;;;13;;24;;8;304;228;;;;2;2;4;
awan setho;bhayangkara;idn;26;gk;9;810;;;;;;3;;;;;;3;16;;;2;;;221;170;;;;0;;;
aqil savik;bhayangkara;idn;24;gk;1;90;;;;;;;;;;;;0;3;;;;;;20;17;;;;0;;;
crislan henrique;bhayangkara;bra;31;fw;8;221;3;;3;1;;6;7;;12;7;16;;;1;4;6;;1;132;82;;;9;8;17;3;
matias mier;bhayangkara;ury;33;mf;9;736;1;4;9;;;5;13;3;13;2;7;;;4;;10;;;364;282;;;13;20;33;3;
adam ahmad najem;bhayangkara;afg;28;mf;10;900;;;11;4;;3;6;;15;1;;;;10;2;38;;1;467;436;;;1;1;2;2;
david maulana;bhayangkara;idn;21;mf;9;790;;;7;4;;15;6;2;7;;11;;;18;;33;;5;460;356;;;;1;1;1;
dylan alain de bruycker;bhayangkara;phi;25;mf;6;389;;;2;;;2;2;;2;;;;;4;;15;;;152;135;;;1;0;1;2;
muhammad fatchu rohman;bhayangkara;idn;28;df;7;502;;;2;1;;17;3;;8;;;;;11;2;18;;2;205;152;;;;1;1;;
muhamad rifki ananta;bhayangkara;idn;22;mf;4;272;;;2;;;2;;;3;;;;;6;;12;;2;101;77;;;;0;;;
muhammad reza kusuma;bhayangkara;idn;23;mf;9;406;;;4;3;;4;;2;13;;7;;;14;;20;;;174;149;;;;4;4;4;
sani rizki;bhayangkara;idn;25;mf;7;420;1;;;;;2;3;1;11;2;;;;2;4;7;;;166;134;;;3;4;7;;
dendy sulistyawan;bhayangkara;idn;26;fw;10;846;;1;4;3;;5;14;1;13;7;21;;;8;3;15;;5;271;196;;;8;8;16;3;
abanda abdulrahman;bhayangkara;idn;33;df;5;334;;1;;6;;9;;;4;;;;;7;1;15;;;104;90;;;;0;;;
anderson sales;bhayangkara;bra;35;df;10;900;1;;4;3;;50;;;8;1;;;;10;7;47;;;344;306;;;3;5;8;;
martua sandeni;bhayangkara;idn;26;fw;4;190;;;;2;;;;;2;1;;;;5;;4;;;54;41;;;;0;;1;
alef vieira santos;bhayangkara;bra;29;df;6;521;;;;1;;8;;2;4;;7;;;16;2;25;;2;227;175;;;;1;1;2;
mohammad ragil;bhayangkara;idn;18;fw;3;104;1;;;;;1;;;3;;7;;;;1;1;;1;17;12;;;1;1;2;;
aji joko sutopo;bhayangkara;idn;25;df;2;118;;;;;;6;;;1;;;;;;;7;;;39;26;;;;0;;1;
muhamad surya;bhayangkara;idn;22;df;3;87;;;;;;4;;1;2;;;;;6;1;3;;1;50;35;;;;0;;;
muhamad hargianto;bhayangkara;idn;27;mf;6;167;;;;;;1;4;;4;;5;;;6;;3;;1;95;73;;;1;4;5;;
fandi eko utomo;bhayangkara;idn;32;mf;5;89;;;;;;1;;1;3;;;;;3;;;;;46;38;;;;0;;;
wahyu subo seto;bhayangkara;idn;30;mf;5;235;;;;;;1;;1;5;;9;;;6;;6;;;116;92;;;1;1;2;1;
aprius fernando surbay;bhayangkara;idn;23;fw;2;37;;;;;;;;1;;;;;;1;;;;;7;4;;;;0;;;
ichwan tuharea;bhayangkara;idn;23;fw;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
ramadhan yusuf fitra;bhayangkara;idn;18;df;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
muhammad iqbal septian;bhayangkara;idn;18;gk;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
indra kahfi;bhayangkara;idn;37;df;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
alsan sanda;bhayangkara;idn;31;fw;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
dimas julio pamungkas;bhayangkara;idn;19;df;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
indra adi;bhayangkara;idn;30;gk;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
m faiz maulana;bhayangkara;idn;19;fw;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
frezy al hudaifi;bhayangkara;idn;19;mf;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
aidil usman diarra;bhayangkara;idn;25;fw;2;47;;;;;;;;;1;3;;;;;;;;;4;1;;;;0;;;
arsa ramadhan;bhayangkara;idn;20;fw;1;65;;;;;;;;;;;;;;2;;3;;;21;18;;;;0;;1;
titan agung;bhayangkara;idn;22;fw;2;111;;;;;;1;3;;3;1;;;;3;;2;;;19;15;;;2;0;2;;
nadeo argawinata;borneo;idn;26;gk;10;900;;;;;;3;;;2;;;2;10;2;;1;;;233;145;;33;;0;;1;
angga saputro;borneo;idn;29;gk;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
yogi hermawan;borneo;idn;20;gk;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
daffa fasya;borneo;idn;19;gk;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
hugo samir;borneo;idn;18;fw;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
abdul rachman;borneo;idn;35;df;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
muhammad alfahrezzi;borneo;idn;17;df;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
rizdjar nurivat subagja;borneo;idn;17;df;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
iksanul lutfi;borneo;idn;21;mf;0;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;
arya putra gerryan;borneo;idn;22;mf;1;13;;;;;;;;;;;;;;;;;;;3;3;;;;0;;;
stefano lilipaly;borneo;idn;33;fw;10;871;5;6;4;;;2;21;7;9;8;17;;;9;;15;;12;329;200;;;12;6;18;2;
leonardo lelis;borneo;bra;29;df;8;645;3;;;6;;24;;1;7;;;;;3;1;21;;;247;204;1;;6;5;11;4;
matheus pato;borneo;bra;28;fw;3;268;2;;2;;;;;2;;;;;;1;4;4;;;;;;;9;5;14;;
kei hirose;borneo;jpn;27;mf;10;701;;;13;2;;2;4;;16;;13;;;34;;22;;1;250;216;;;;0;;;
hendro siswanto;borneo;idn;33;mf;9;780;;;13;2;;6;3;1;16;;14;;;22;6;38;;1;317;272;;;2;6;8;;
m taufany muslihudin;borneo;idn;21;mf;6;124;;;4;;;1;2;;3;;;;;3;;5;;2;61;45;;;;0;;;
rivaldo enero pakpahan;borneo;idn;20;mf;1;56;;;2;;;1;;;1;;;;;4;;5;;;23;17;;;;0;;;
agung prasetyo;borneo;idn;30;df;4;239;;;;5;;15;;;5;;;;;5;;15;;;84;68;;;;1;1;;
rizky dwi febrianto;borneo;idn;26;df;5;87;;;;1;;1;;;1;;6;;;1;;5;;;42;30;;;1;0;1;1;
felipe cadenazzi;borneo;arg;31;fw;6;372;1;;;;;1;2;;13;2;11;;;6;7;4;;;72;50;;;6;5;11;2;
silverio junio;borneo;por;27;df;7;569;1;;;3;;18;;;8;;6;;;6;9;35;;;227;190;;;1;0;1;;1
leo guntara;borneo;idn;29;df;8;279;1;;;1;;3;;1;4;1;;;;8;;9;;2;116;95;;;2;0;2;3;
terens puhiri;borneo;idn;26;fw;10;761;1;1;4;;;;10;1;15;7;5;;;10;1;14;;7;265;207;;;3;2;5;2;
